Row,YPred_1,YPred_2,YPred_3,YPred_4,YPred_5,YPred_6,YPred_7,YPred_8,YPred_9,YPred_10,YPred_11,YPred_12,YPred_13,YPred_14,YPred_15,YPred_16
49ers,12,26,20,-21,-29,31,31,12,-18,-10,12,23,15,-21,-26,26
Bears,35,7,-0,17,-0,28,7,-7,28,17,38,7,3,21,-0,31
Bengals,-16,-14,-19,-21,-35,-16,14,-17,-12,-34,-16,-14,-24,-21,-37,-14
Bills,6,-11,-37,4,-6,14,14,-37,20,4,6,-9,-35,4,-9,8
Broncos,6,-1,1,21,35,1,6,-18,-18,13,9,1,6,21,33,4
Browns,-1,2,-1,12,-24,-1,5,15,-3,-11,-1,5,-1,10,-19,-6
Bucaneers,-38,-19,-10,18,12,-38,-16,-1,12,-7,-38,-16,-10,15,9,-35
Cardinals,7,-7,-18,-27,-4,-1,-35,-32,10,4,4,-7,-18,-21,-7,4
Chargers,9,12,14,35,20,16,5,-12,31,11,11,14,12,35,20,16
Cheifs,3,3,-2,-9,-11,7,17,14,-4,-9,1,3,-2,-8,-11,5
Colts,9,-0,-3,23,-9,-3,32,-14,23,-12,9,-0,-3,25,-9,-0
Cowboys,11,7,31,24,18,22,-23,33,20,24,14,7,29,22,18,20
Dolphins,-22,-17,-8,-17,1,8,-31,6,-24,1,-20,-17,-8,-20,3,3
Eagles,9,26,28,21,-5,12,14,23,-14,2,12,28,26,19,2,14
Falcons,1,-0,-3,15,1,3,3,-16,20,-0,3,1,-2,14,3,3
Giants,9,0,-2,3,5,24,-21,-2,0,2,9,-2,0,3,5,21
Jaguars,6,17,-2,-2,17,3,38,-21,-17,3,6,17,-0,-0,17,3
Jets,10,21,12,-10,17,31,21,6,-35,6,8,19,10,-10,15,27
Lions,2,-10,-16,2,-16,8,-10,-31,31,-10,2,-12,-17,2,-17,5
Packers,13,7,14,-1,5,22,4,20,-31,11,14,5,14,-1,5,20
Panthers,5,16,24,11,-18,16,21,16,-21,-18,11,16,19,13,-16,19
Patriots,1,4,16,16,16,-15,-6,25,20,8,1,6,16,16,16,-10
Raiders,-6,-7,0,-15,-11,-3,-12,13,-32,-7,-6,-8,0,-16,-10,-4
Rams,-0,18,8,1,21,-0,37,6,-21,9,1,19,10,-0,21,1
Ravens,-5,16,30,16,23,-15,27,44,9,44,-1,16,30,9,27,-15
Redskins,-19,4,-1,-14,-5,-24,18,1,-24,-3,-21,4,-1,-17,-3,-22
Saints,18,31,29,-4,31,15,34,37,-10,26,18,31,31,-4,31,18
Seahawks,10,4,10,9,27,15,-8,10,2,24,10,4,10,7,24,14
Steelers,-8,-17,4,-6,-14,-16,-21,28,-10,-6,-8,-17,4,-6,-14,-12
Texans,7,5,2,14,16,1,5,-7,19,8,7,7,4,16,16,4
Titans,10,15,4,-15,10,24,19,5,-28,0,8,13,7,-14,10,21
Vikings,-2,7,9,7,5,-7,27,20,15,5,-3,7,7,6,5,-6
